Speaker	Utterance	Emotion	Sentiment
maya	क्य क्य भर् के रख है इन्द्रवदन् ने इस् घर् मेइन् इन्द्रवदन् प्लेअसे तुम् सरि बेकर् कि चिजेन् बहर् क्योन् नहिन् फ़ेक्ते?	disgust	negative
indu	ओक्, चलो रोसेश् चलो बहर्	contempt	negative
rosesh	मोम्म! हथ् छोदिये दद्!	anger	negative
indu	देखो मय य न बोल् रह है! फ़िर् तुम् हि कहोगि फ़ल्तु चिजेन् जम कर्ते हो फ़ेक्ते नहिन् हो, चलो	neutral	neutral
maya	इन्द्रवदन्, तुम् कित्ने सलो से ये जोके मार् रहे हो। कोइ होत है आज् तक्?	neutral	neutral
indu	कैकै पे जोके मरोगे तो मन्थ्र थोदि न हसेगि	contempt	negative
rosesh	वेर्य् फ़ुन्न्य्	contempt	negative
indu	मय, मोनिश और् सहिल् आ रहे हैन्, देख्न यहि जो उन् पेर् इस्तेमल् कर्त हुन् और् देख्न वह् कित्न हस्ते हैन्	neutral	neutral
sahil	हि गुय्स्	joy	positive
rosesh	हि	joy	positive
maya	हि दर्लिन्ग्। अच्च इन्द्रवदन्, प्लेअसे य कच्र बहर् फ़ेन्को!	neutral	neutral
indu	ओक् मय, चलो रोसेश् तुम्हेन् बहर् फ़ेन्क् औ	neutral	neutral
sahil	मोम्! दिवलि क लुन्च् हमरे घर् पे	joy	positive
monish	और् मेइन् खन फ़्रेश् बनने वलि हुन्	joy	positive
maya	इ रेस्त् म्य् चसे इन्द्रवदन्। हसे दोनोन्, हुह्? अच्च अब् तो प्लेअसे कच्र बहर् फ़ेन्क् दो	neutral	neutral
indu	ओक् मय, चलो मोनिश तुम्हे बहर् फ़ेन्क् आउ	neutral	neutral
maya	ह ह ह, इन्द्रवदन् योउ अरे सो फ़ुन्न्य्	joy	positive
indu	हैल, सहिल्! तुम्हरे दिवलि लुन्च् पेर् है न मैय को कीदे, मकोदे और् मुखिय खिलन	neutral	neutral
indu	क्युन्कि जब् मैने वहि जोके रोसेश् पे मर तो बिल्कुल् नहिन् हसि लेकिन् वहि जोके जब् मैने मोनिश पेर् मर तो देखो कैसे हस् रहि है!	contempt	negative
maya	अच नोव् चुत् इत् ओउत् हुह् इन्द्रवदन्। रोसेश् स्वीत्य् तुम्हि निकलो न सर कच्र बहर्	neutral	neutral
rosesh	ओक् चलिये दद्, मेइन् आप्को बहर् फ़ेन्क् कर् आत हुन्!	joy	positive
maya	हह, योउ अस्केद् फ़ोर् थत् ओने। सहिल् दर्लिन्ग् तुम्हि मदद् कर् दो प्लेअसे मेरि। मेर घर् तो एकदम् मोनिश क घर् बन् गय है!	contempt	negative
 
maya	रोसेश् बेत हप्प्य् दिवलि!	joy	positive
rosesh	योउ बेत् मोम्म।	neutral	neutral
indu	रोसेश् बेते, दिवलि मुबरक् हो!	joy	positive
rosesh	"प्लेअसे दद् मुबरक् हो ऐस शब्द् इस्तेमल् न करेन् तो बेह्तर् होग क्युन्कि मेरे पैद होने पेर् ""मुबरक् हो आप्को तीस्र बच्च हुअ है"" ऐस तो किसि ने नहिन् कह होग न?"	sadness	negative
maya	होव् चन् योउ सय् थत् रोसेश्?	neutral	neutral
maya	तुम्हेन् मलूम् नहिन् इन्द्रवदन् तो खुशि से नच् उथ थ वहि नुर्सिन्ग् होमे मेइन्!	joy	positive
indu	हन् हन् यद् है! यद् है! और् मय तुम् भि तो कित्न नाचि थि, यद् है तुम्हेन्?	neutral	neutral
maya	मेरि चेसरेअन् देलिवेर्य् हुइ थि इन्द्रवदन्!	neutral	neutral
rosesh	और् मिथाइ कौन् सि बति थि?	neutral	neutral
indu	बैथि थि न मिथैयन्! वह् कदक् बुन्दि के लद्दु बते थे। हैन?	neutral	neutral
maya	द्र्य् फ़्रुइत्स् के बोक्षेस् बाते थे इन्द्रवदन्!	neutral	neutral
indu	अरे हान्, यद् आय द्र्य्फ़्रुइत्स् के बोक्षेस् बते थे! उन्न् दिनो दिवलिल् भि तो थि तो लगे हथो हुम्ने॥।	neutral	neutral
rosesh	इत्'स् ओक् मोम्म। दिवलि क एक् बहन तो थ, द्र्य् फ़्रुइत्स् बन्त्ने क॥। मेर जनम् तो!	sadness	negative
monisha	हप्प्य् दिवलि! मुम्म्य् जि ये लिल्जिये आप्क गिफ़्त्, चन्दल्। केस लग?	joy	positive
maya	जैस लग सो लग तुम्हेन् अच्च लग न?	contempt	negative
monisha	हान्।	joy	positive
maya	तो तन्ग् दो कहिन् भि	neutral	neutral
monisha	"और् मुम्म्य् जि यह् स्तिच्केर्स् कहन् लगौन्? ""शुभ् लभ्"", ""हप्प्य् दिवलि"", ""वेल्चोमे"" वले?"	joy	positive
maya	यह् प्लस्तिच् के स्तिच्केर्स् तुम्ने कहन् से खरिदेन्?	contempt	negative
monisha	खरीद् नहिन् मुम्म्य् जि मुझे दुकन्दर् ने ऐसे हि दे दिये। मुझे आते हुए देख्कर् दुकन्दर् ने कह कि बहन् जि प्लेअसे जोर् जोर् से भव् मत् कर्न जो चहिए ऐसे हि मुफ़्त् मेइन् ले जाइये!	joy	positive
sahil	और् तुम्ने ले लिये?	neutral	neutral
monisha	हान्! इस्मेइन् से दो तो मैन् बेच् भि दिये सहिल्! कहन् लगौ बल्चोन्य् मैन्?	joy	positive
maya	जहन् जि चहे लग दो अब् यह् घर् तो हमर रह हि न्हि। चलो इन्द्रवदन्।	neutral	neutral
indu	हान् चलो मय	neutral	neutral
sahil	एक् मिनुते! मोम्-दद् आप् दोनोन् कहन् ज रहे हो?	neutral	neutral
indu	पत नहिन् बेत लेकिन् जो ज़्यत्तियन् हुम्ने रोसेश् पे कि हैन्, शयद् उसि क यह् प्रयश्चित् है	sadness	negative
