Speaker	Utterance	Emotion	Sentiment
maya	कुछ् करो सहिल् प्लेअसे कुछ् करो। मेर रोसेश् अदोप्त् हो कर्के चल गय न तो मे, इ क्नोव् थिस् सोउन्द्स् होर्रिब्ल्य् मेलोद्रमतिच्, मोनिशैश्, पर् मे मर् जाउन्गि। इ स्वेअर् मेइन् मर् जाउन्गि	neutral	neutral
indu	मोनिश तुम् मुस्कुर क्य रहि हो?	neutral	neutral
monisha	हैल! मैन्? मैन् कहन्? क्य दद्द्य् जि?	neutral	neutral
indu	मय कुछ् अच्तुअल्ल्य् मर्ने वलि नहिन् है। इत्'स् जुस्त् अन् एक्षग्गेरतिओन्, जैसे मैन् नहिन् कह्त कि रोसेश् को कोइ अदोप्त् कर् लेग तो मैन् खुशि से मर् जौन्ग, योउ क्नोव् इत्स् लिके थत्।	neutral	neutral
maya	स्तोप् इत्! स्तोप् इत्! स्तोप् इत्! तुम्हरि इसि तरह् कि हर्कतो कि वजह् से मेर बच्च घर् छोद्कर् ज रह है!	neutral	neutral
indu	मय मेने क्य किय? वो तो बे ओर् नोत् तो बे क लेत्तेर् तो तुम् हि ने लिख थ!	neutral	neutral
maya	हन् तो तुम्ने पध क्युन् न्हि उसे खोल्के इत्ने साल्?	neutral	neutral
indu	"चोमे ओन् मय तुम्ने उस् पे ""तो म्य् दर्लिन्ग् हुस्बन्द्"" लिख थ"	neutral	neutral
sahil	तो?	neutral	neutral
indu	"तो?! सहिल् तब् हम् शदिशुद थे। ज़र सोचो, शादि के बद् २४ घन्ते सथ् रहने वलि बिवि अगर् तुम्हेन् खत् मेइन् लिख्ति है ""तो म्य् दर्लिन्ग् हुस्बन्द्"" तो तुम् खोलोगे वो खत्?"	neutral	neutral
monisha	सहिल्!	neutral	neutral
sahil	मोनिश बेचरि ऐस खत् कभि लिखेगि हि नहिन् न!	neutral	neutral
maya	"हन् लिखेगि भि कैसे? उस्के घर् मेइन् न व्रितिन्ग् पपेर् है, न पेन्। अगर् पेन् कहिन् दिख् भि जाये तो उसे कान् खुजने के लिये इस्तेमल् कर्ति है। कान् मे जब् इन्फ़ेच्तिओन् हो जत तो गरम् कर्के लेह्सुन् वल तेल् दल्ति है। तेल् के धब्बे कप्दोन् पेर् पदे तो उसे फ़ेन्क् देने कि बजये घर् मेइन् पेहेन्ति है! और् कप्दे पेहन्ने से पह्ले त्रैन् मेइन् खरिद हुअ ""पुश्पन्जलि"" नाम् क तल्चुम् पोव्देर् उसे कर्ति है!"	neutral	neutral
indu	मय! मय मोनिश हये हये, बाद् मे! नहि तो वो रोसेश् अदोप्त् होके चल जएग कहिन्!	neutral	neutral
maya	ओह् म्य् गोद्! सहिल् प्लेअसे॥ प्लेअसे कुछ् करो। मेरे बच्चे को कोइ अदोप्त् कर्ने आ गय तो क्य करेन्गे?	neutral	neutral
sahil	कैसे कोइ आयेग मोम्? अगर् कोइ अदोप्त् कर्ने कि सोचेग अगर् तो बच्च अदोप्त् करेग। रोसेश् को क्योन् कोइ अदोप्त् करेग?	neutral	neutral
indu	मय इस् नेव्स्पपेर् मेइन् उस्ने अप्नि तस्विर् भि दि है देखो।	neutral	neutral
maya	हन् लेकिन् इस्मेइन् फोतो मेइन् वह् कित्न छोत बब्य् हि लग् रह है	neutral	neutral
indu	तो कोइ उसे उथके 'उलेलेले' ऐस कर्के खेलेग क्य? उस्कि सिज़े देखि है तुम्ने?	neutral	neutral
sahil	दद् इस् रिघ्त् मोम्।	neutral	neutral
monisha	सहिल्, लेकिन् रोसेश् भैय तो अमिर् लद्के हैन् न, तो उन्कि दौलत् हदप्ने के लिये कोइ उन्हेन् अदोप्त् कर्ने अ गय तो?	neutral	neutral
maya	शे इस् रिघ्त्। शे इस् अब्सोलुतेल्य् रिघ्त्। ओह् म्य् गोद्!	neutral	neutral
sahil	मोम् योउ नीद् तो रेलक्ष्। अप्न दुश्यन्त् गय है न नेव्स्पपेर् के ओफ़्फ़िचे मेइन्।	neutral	neutral
maya	दुश्यन्त्?! दुश्यन्त् उस् चोउप्ले के घर् क तेलेविसिओन्, फ़्रिद्गे, मोबिले फोने, यह् सब् थीक् चल् रह है कि नहिन् वह् चेच्क् करेग!	neutral	neutral
monisha	मुम्म्य् जि थीक् कह् रहि हैन्। यद् है? जब् गुन्वन् मम जि गुजर् गये थे प्लने च्रश् मेइन्, तब् दुश्यन्त् जिजजि ने शोक् सभ मेइन् आकर् क्य कह थ?	neutral	neutral
indu	"हन् यह् सब् कैसे हो गय मुम्म्य् जि पूछ्ने कि बजये, ""कौन् सि ऐर्लिनेस् थि थि? ऐर्च्रफ़्त् कौन् स थ? बोएइन्ग् ७४७ यह् ऐर्बुस् थि?"" ऐस रोते रोते पूछ थ"	neutral	neutral
maya	सुन तुम्ने। सहिल् कुछ् करो प्लेअसे। पुर चन्चे है कि कोइ फ़्रौद् चोउप्ले रोसेश् को अदोप्त् कर् जएग और् फ़िर् उसे तोर्तुरे करेग!	neutral	neutral
monisha	आन्खेन् फ़ोद् के बिथ देन्गे रोसेश् भैय को त्रफ़्फ़िच् सिग्नल् पेर् भीख् मन्ग्ने के लिये!	neutral	neutral
sahil	मोनिश!	neutral	neutral
monisha	सहिल् मैने पध है! कभि कभि तो यह् गुन्दे बद्मश् बच्चोन् को लुल लन्ग्द कर्के भीख् मन्ग्वने के लिये उन्से त्रैन् मेइन् गने गवते हैन्।	neutral	neutral
indu	"हान् हान् हान्, ओर् फ़िर्, अप्ने रोसेश् कि तो अवाज़् भि मत्च् कर्ति है उन् त्रैन् मेइन् गन गने वले बीख् मन्गोन् से! ""देख है पह्लि॥। सजन् कि आन्खोन् मेइन् प्यर्"""	neutral	neutral
maya	एसे दोव्न् मर्केत् गने गते हैन् लोग् त्रैन्स् मेइन्!	neutral	neutral
dushyant	हेल्लो एवेर्य्बोद्य्	neutral	neutral
maya	दुश्यन्त्! क्य हुअ दुश्यन्त् क्य कह नेव्स्पपेर् वलोन् ने?	neutral	neutral
dushyant	कहेन्गे क्य? बोलति बन्द् हो गै उन्कि।	neutral	neutral
sahil	बोलति बन्द्?	neutral	neutral
dushyant	हन् उन्के लिफ़्त् के पन्खे मेइन् से अवाज़् अ रहि है वह् ओइलिन्ग् न कर्ने कि वजह् से नहिन् थ, बल्कि पन् मसले क पच्केत् अन्दर् घुसने कि वजह् से आ र्हि है यह् मैने सबित् कर् दिय तु आन्खेन् फद्के देख्ते रहे हो लोग् बिल्कुल् वैसे हि जैसे आप् लोग् देख् रहे हैन् अभि मुझे	neutral	neutral
indu	सहिल् दमद् क मुर्देर् अप्ने इन्दिअन् लव् मेइन् अल्लोवेद् है न?	neutral	neutral
maya	दुश्यन्त् रोसेश् कि अद् के लिये कोइ रेस्पोन्से आय?	neutral	neutral
dushyant	"हान् हान्। वो नेव्स्पपेर् वलोन् से मैने पूछ थ कि भै कोइ फोने वोने अय? तो उन्होने कह कि एक् चोउप्ले क फोने आय थ और् पूछ थ कि यह् वहि रोसेश् है जो नतको मेइन् काम् कर्त है? वह् ""दुध् कि व्यथ- चै बनु य बच्दे क खुरक्?"" जिस्मेइन् वह् दुध् बना थ। तो नेव्स्पपेर् वलोन् ने हान् कह तो उस् चोउप्ले ने ""हू"" ऐसे कह और् फोने रख् दिय!"	neutral	neutral
 
maya	इन्दु तुम्ने वह् मेरे एअर्प्लुग्स् देखे हैन्	neutral	neutral
indravardhan	एअर्प्लुग्स् क्योन्?	neutral	neutral
maya	११:३० बज् रहे हैन् न मधुभै कि भतिजि क सोने क तिमे हो गय है	neutral	neutral
indravardhan	अरे बाप् रे य्यने अन्नोउन्चेमेन्त् शुरु हो जयेगि	neutral	neutral
dvd player	त्रैन् सोउन्द्।	neutral	neutral
maya	आआ	neutral	neutral
 
indravardhan	हप्प्य् अन्निवेर्सर्य् तो योउ तू दर्लिन्ग्	neutral	neutral
maya	थन्क् योउ!	neutral	neutral
indravardhan	अन्द् हेरे'स् योउर् अन्निवेर्सर्य् गिफ़्त् दिअमोन्द् ब्रचेलेत् क दब्ब।	neutral	neutral
maya	सिर्फ़् दिब्ब?	neutral	neutral
indravardhan	होल्द् ओन् होल्द् ओन् ब्रचेलेत् अलग् से है। हेय् योउ अरे	neutral	neutral
maya	इन्दु	neutral	neutral
indravardhan	ओह् सोर्र्य्	neutral	neutral
monisha	और् ये मेरि तरफ़् से गिफ़्त्	neutral	neutral
indravardhan	क्य है इस्मेइन्?	neutral	neutral
monisha	मेदुवद सम्बर्	neutral	neutral
maya	वेद्दिन्ग् अन्निवेर्सर्य् गिफ़्त् के लिये मेदु वद सम्भर् मोनिश?	neutral	neutral
sahil	रोसेश् तुम् क्य तुम् क्य गिफ़्त् लै हो	neutral	neutral
rosesh	मेरि तरफ़् से कल् पर्त्य् मेइन्। फ़िल्हल् के लिये।  त्र त्रो त्रूऊ	neutral	neutral
sahil	हह अन्द् थत् मेअन्स्?	neutral	neutral
rosesh	हथि कि भश मेइन् हप्प्य् वेद्दिन्ग् अन्निवेर्सर्य् तो म्य् परेन्त्स्।	neutral	neutral
sahil	रोसेश्ऽआअ	neutral	neutral
